"","Primer","MeltTemp","Direction","Group"
"1","515F-1",69.6,"Forward","Standard"
"2","515F-2",71.8,"Forward","Standard"
"3","515F-3",66.9,"Forward","Standard"
"4","515F-4",69.1,"Forward","Standard"
"5","V1-tr515F",56.6,"Forward","Truncated"
"6","V2-tr515F",57.2,"Forward","Truncated"
"7","V3-tr515F",58.6,"Forward","Truncated"
"8","V4-tr515F",57.2,"Forward","Truncated"
"9","V5-tr515F",58.6,"Forward","Truncated"
"10","V6-tr515F",56.4,"Forward","Truncated"
"11","V7-tr515F",57.1,"Forward","Truncated"
"12","V8-tr515F",55.8,"Forward","Truncated"
"13","806R-1",55.7,"Reverse","Standard"
"14","806R-2",56.7,"Reverse","Standard"
"15","806R-3",58,"Reverse","Standard"
"16","806R-4",59,"Reverse","Standard"
"17","806R-5",57.4,"Reverse","Standard"
"18","806R-6",58.5,"Reverse","Standard"
"19","806R-7",57.4,"Reverse","Standard"
"20","806R-8",58.5,"Reverse","Standard"
"21","806R-9",59.8,"Reverse","Standard"
"22","806R-10",60.8,"Reverse","Standard"
"23","806R-11",59.8,"Reverse","Standard"
"24","806R-12",60.8,"Reverse","Standard"
"25","806R-13",57.4,"Reverse","Standard"
"26","806R-14",58.4,"Reverse","Standard"
"27","806R-15",60.5,"Reverse","Standard"
"28","806R-16",61.5,"Reverse","Standard"
"29","806R-17",59.8,"Reverse","Standard"
"30","806R-18",60.8,"Reverse","Standard"
"31","806R-19",54.5,"Reverse","Standard"
"32","806R-20",55.6,"Reverse","Standard"
"33","806R-21",57.4,"Reverse","Standard"
"34","806R-22",58.4,"Reverse","Standard"
"35","806R-23",57.4,"Reverse","Standard"
"36","806R-24",58.5,"Reverse","Standard"
"37","V1-tr806R",52.8,"Reverse","Truncated"
"38","V2-tr806R",54.2,"Reverse","Truncated"
"39","V3-tr806R",52,"Reverse","Truncated"
"40","V4-tr806R",53.4,"Reverse","Truncated"
"41","V5-tr806R",52,"Reverse","Truncated"
"42","V6-tr806R",53.5,"Reverse","Truncated"
"43","V7-tr806R",52,"Reverse","Truncated"
"44","V8-tr806R",53.4,"Reverse","Truncated"
"45","V9-tr806R",52,"Reverse","Truncated"
"46","V10-tr806R",53.4,"Reverse","Truncated"
"47","V11-tr806R",52,"Reverse","Truncated"
"48","V12-tr806R",53.5,"Reverse","Truncated"
"49","V13-tr806R",54.3,"Reverse","Truncated"
"50","V14-tr806R",54.3,"Reverse","Truncated"
"51","V15-tr806R",55.7,"Reverse","Truncated"
"52","V16-tr806R",54.3,"Reverse","Truncated"
"53","V17-tr806R",52.6,"Reverse","Truncated"
"54","V18-tr806R",54,"Reverse","Truncated"
"55","V19-tr806R",52.6,"Reverse","Truncated"
"56","V20-tr806R",54,"Reverse","Truncated"
"57","V21-tr806R",53.8,"Reverse","Truncated"
"58","V22-tr806R",55.1,"Reverse","Truncated"
"59","V23-tr806R",52.6,"Reverse","Truncated"
"60","V24-tr806R",54,"Reverse","Truncated"
"61","V25-tr806R",55.7,"Reverse","Truncated"
"62","V26-tr806R",56.7,"Reverse","Truncated"
"63","V27-tr806R",54.5,"Reverse","Truncated"
"64","V28-tr806R",55.6,"Reverse","Truncated"
